priority_rank,clinic_name,city,contact_email,buyer_role,suggested_search,official_website,status,next_action_date
20,Tandartsenpraktijk Villa Westhof,Nijmegen,info@tandarts-villawesthof.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsenpraktijk Villa Westhof"" Nijmegen practice manager OR owner",https://www.tandartsnijmegenoost.nl,sent,2026-04-19
21,Tandartspraktijk de Oversteek,Nijmegen,info@tpdo.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartspraktijk de Oversteek"" Nijmegen practice manager OR owner",https://tandartspraktijkdeoversteek.nl/,sent,2026-04-19
22,Vos & Nos Geleen,Geleen,geleen@vosnos.nl,owner_or_practice_manager,"site:linkedin.com/in ""Vos & Nos Geleen"" Geleen practice manager OR owner",https://vosnos.nl/,sent,2026-04-19
23,Tandartsenpraktijk van Nouhuys,Maastricht,hertogsingeltandartsen@gmail.com,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsenpraktijk van Nouhuys"" Maastricht practice manager OR owner",https://www.de-tandarts.net,sent,2026-04-19
24,Dental Clinics Eindhoven,Eindhoven,eindhoven@dentalclinics.nl,owner_or_practice_manager,"site:linkedin.com/in ""Dental Clinics Eindhoven"" Eindhoven practice manager OR owner",https://www.dentalclinics.nl/tandarts/eindhoven/,sent,2026-04-20
25,pc2-tandartsen,Eindhoven,receptie@pc2-tandartsen.nl,owner_or_practice_manager,"site:linkedin.com/in ""pc2-tandartsen"" Eindhoven practice manager OR owner",https://www.pc2-tandartsen.nl,sent,2026-04-20
26,Tandartsenpraktijk Brouwhuis,Helmond,info@tandartsenpraktijkbrouwhuis.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsenpraktijk Brouwhuis"" Helmond practice manager OR owner",http://www.tandartsenpraktijkbrouwhuis.nl/,sent,2026-04-20
27,City Mondzorg - Veldhoven,Veldhoven,info@citymondzorg.nl,owner_or_practice_manager,"site:linkedin.com/in ""City Mondzorg - Veldhoven"" Veldhoven practice manager OR owner",https://www.citymondzorg.nl,sent,2026-04-20
28,Oud Stratum Tandartsen,Eindhoven,info@oudstratumtandartsen.nl,owner_or_practice_manager,"site:linkedin.com/in ""Oud Stratum Tandartsen"" Eindhoven practice manager OR owner",https://www.oudstratumtandartsen.nl,sent,2026-04-20
29,Tandartspraktijk De Oude Toren B.V.,Eindhoven,info@tandartspraktijkdeoudetoren.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartspraktijk De Oude Toren B.V."" Eindhoven practice manager OR owner",https://www.tandartspraktijkdeoudetoren.nl,sent,2026-04-20
30,Dental Clinics Best,Best,best@dentalclinics.nl,owner_or_practice_manager,"site:linkedin.com/in ""Dental Clinics Best"" Best practice manager OR owner",https://www.dentalclinics.nl/tandarts/best/,sent,2026-04-20
31,Atlas Dental Care Eindhoven,Eindhoven,info@atlaseindhoven.nl,owner_or_practice_manager,"site:linkedin.com/in ""Atlas Dental Care Eindhoven"" Eindhoven practice manager OR owner",https://atlaseindhoven.nl/contact/,sent,2026-04-20
32,Tandartspraktijk Sibeliuslaan,Eindhoven,info@tandartssibeliuslaan.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartspraktijk Sibeliuslaan"" Eindhoven practice manager OR owner",https://www.tandartssibeliuslaan.nl/,sent,2026-04-20
33,Tandartsen Helmond,Helmond,info@tandartsenhelmond.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsen Helmond"" Helmond practice manager OR owner",https://www.tandartsenhelmond.nl,sent,2026-04-20
34,Tandartsen Gestel,Eindhoven,info@tandartsengestel.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsen Gestel"" Eindhoven practice manager OR owner",http://www.tandartsengestel.nl/,sent,2026-04-20
35,Praktijk voor parodontologie en implantologie Eindhoven,Eindhoven,info@paro-eindhoven.nl,owner_or_practice_manager,"site:linkedin.com/in ""Praktijk voor parodontologie en implantologie Eindhoven"" Eindhoven practice manager OR owner",https://www.paro-eindhoven.nl,sent,2026-04-20
36,Tandprothetische praktijk de Polders Eindhoven,Eindhoven,info@depolders.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandprothetische praktijk de Polders Eindhoven"" Eindhoven practice manager OR owner",https://depolders.nl/tandprothese/,sent,2026-04-20
37,MKA Kliniek Eindhoven,Eindhoven,info@mkakliniekeindhoven.nl,owner_or_practice_manager,"site:linkedin.com/in ""MKA Kliniek Eindhoven"" Eindhoven practice manager OR owner",https://www.mkakliniekeindhoven.nl,sent,2026-04-20
38,Smile Mondzorg Tilburg,Tilburg,info@smilemondzorg.nl,owner_or_practice_manager,"site:linkedin.com/in ""Smile Mondzorg Tilburg"" Tilburg practice manager OR owner",http://www.smilemondzorg.nl/,sent,2026-04-20
39,Tandartsenpraktijk Steenbergen Tilburg B.V.,Tilburg,tilburg@tandarts-steenbergen.nl,owner_or_practice_manager,"site:linkedin.com/in ""Tandartsenpraktijk Steenbergen Tilburg B.V."" Tilburg practice manager OR owner",https://www.tandarts-steenbergen.nl,sent,2026-04-20
40,Dental Clinics Breda Princenhage,Breda,breda@dentalclinics.nl,owner_or_practice_manager,"site:linkedin.com/in ""Dental Clinics Breda Princenhage"" Breda practice manager OR owner",https://www.dentalclinics.nl/tandarts/breda-princenhage/,sent,2026-04-20
