lead_rank,region_bucket,city,clinic_name,address,contact_email,contact_phone,official_website,listing_url,quality_tier,quality_score,verification_status,source_file
49,adjacent_south,Maastricht,Dental Clinics Maastricht Heerderrein,"Rijksweg 72a 03, Maastricht",heerderrein@dentalclinics.nl,+31433614521,https://www.dentalclinics.nl/tandarts/maastricht-heerderrein/,https://www.tandarts.nl/tandarts-maastricht/dental-clinics-maastricht-heerderrein,A,93,official_site_and_email_verified,brabant-dental-top-100.csv
50,adjacent_south,Arnhem,Mondzorg Velperweg B.V.,"Velperweg 101B, Arnhem",info@mondzorgvelperweg.nl,0263614731,https://www.tandarts-in-arnhem.nl,https://www.tandarts.nl/tandarts-arnhem/mondzorg-velperweg-bv,A,93,official_site_and_email_verified,brabant-dental-top-100.csv
51,adjacent_south,Arnhem,Tandartsenpraktijk St.Elisabeths Gasthuis,"Sint Elisabethshof 1, Arnhem",info@tpeg.nl,00000193-644,https://tpeg.nl,https://www.tandarts.nl/tandarts-arnhem/tandartsenpraktijk-stelisabeths-gasthuis,A,93,official_site_and_email_verified,brabant-dental-top-100.csv
52,adjacent_south,Utrecht,Mondzorgpraktijk Zuilen,"Amsterdamsestraatweg 697, Utrecht",info@mhzuilen.nl,0938706558-970,https://www.mhzuilen.nl,https://www.tandarts.nl/tandarts-utrecht/mondzorgpraktijk-zuilen,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
53,adjacent_south,Utrecht,Jeugdtandarts Groen - Tandarts Utrecht,"Van Heuven Goedhartplein 33, Utrecht",info@jeugdtandartsgroen.nl,//030 8082793,https://www.jeugdtandartsgroen.nl,https://www.tandarts.nl/tandarts-utrecht/jeugdtandarts-groen-tandarts-utrecht,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
54,adjacent_south,Utrecht,Tandheelkunde Vleutenseweg,"Vleutenseweg 492, Utrecht",info@tandheelkundevleutenseweg.nl,0302935075,https://www.tandheelkundigcentrumvleutenseweg.nl/,https://www.tandarts.nl/tandarts-utrecht/tandheelkunde-vleutenseweg,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
55,adjacent_south,Utrecht,Tandheelkundig Centrum Contrast,"Pablo Picassostraat 187, Utrecht",info@thcc.nl,030-6663653,https://www.thcc.nl,https://www.tandarts.nl/tandarts-utrecht/tandheelkundig-centrum-contrast,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
56,adjacent_south,Utrecht,Studentist Utrecht,"Keistraat 4, Utrecht",utrecht@studentist.nl,020 751 0839,https://www.studentist.nl/tandarts-utrecht,https://www.tandarts.nl/tandarts-utrecht/studentist-utrecht,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
57,adjacent_south,Nijmegen,Tandheelkundig centrum Nijmegen,"Meijhorst 60-11, Nijmegen",info@tc-nijmegen.nl,//024 344 2670,https://www.tc-nijmegen.nl,https://www.tandarts.nl/tandarts-nijmegen/tandheelkundig-centrum-nijmegen,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
58,adjacent_south,Utrecht,Sure Dental Utrecht,"Dillenburgstraat 11, Utrecht",info@suredental.nl,0302516343,https://www.suredental.nl/,https://www.tandarts.nl/tandarts-utrecht/sure-dental-utrecht-0,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
59,adjacent_south,Nijmegen,Mondzorgcentrum Takenhofplein,"Takenhofplein 6, Nijmegen",balie@mctp.nl,024 212 212 8,https://www.mondzorgcentrumtakenhofplein.nl,https://www.tandarts.nl/tandarts-nijmegen/mondzorgcentrum-takenhofplein,A,90,official_site_and_email_verified,brabant-dental-top-100.csv
60,adjacent_south,Nijmegen,Mondzorg de Villa,"Graafseweg 232, Nijmegen",info@dental-styling.nl,,https://www.dental-styling.nl,https://www.tandarts.nl/tandarts-nijmegen/mondzorg-de-villa,A,88,official_site_and_email_verified,brabant-dental-top-100.csv
61,adjacent_south,Arnhem,Radic Tandartspraktijk,"Aalburgstraat 108, Arnhem",info@tandartspraktijkradic.nl,0 1 1 0-4 2 2 0 0 1 0 4,https://www.tandartspraktijkradic.nl,https://www.tandarts.nl/tandarts-arnhem/radic-tandartspraktijk,A,88,official_site_and_email_verified,brabant-dental-top-100.csv
62,adjacent_south,Weert,Mondzorg Moesel B.V.,"Christinelaan 12, Weert",info@mondzorgmoesel.nl,0495546882,https://www.mondzorgmoesel.nl,https://www.tandarts.nl/tandarts-weert/mondzorg-moesel-bv,A,88,official_site_and_email_verified,brabant-dental-top-100.csv
63,adjacent_south,Arnhem,Tandartsenpraktijk Swaters & Kremer,"Mauvestraat 46, Arnhem",info@swaterskremer.nl,026-4434624,https://www.swaterskremer.nl,https://www.tandarts.nl/tandarts-arnhem/tandartsenpraktijk-swaters-kremer,A,88,official_site_and_email_verified,brabant-dental-top-100.csv
64,adjacent_south,Utrecht,Tandartspraktijk Knol,"Zamenhofdreef 14, Utrecht",balie@tandartspraktijkknol.nl,(030) 2617452 (Bereikbaar vanaf 8:15 uur),https://www.tandartspraktijkknol.nl,https://www.tandarts.nl/tandarts-utrecht/tandartspraktijk-knol,A,88,official_site_and_email_verified,brabant-dental-top-100.csv
65,adjacent_south,Nijmegen,Tandheelkunde en Implantologie Praktijk St. Jacobslaan,"Sint Jacobslaan 433, Nijmegen",info@tcsw.nl,024 3222319,https://tcsw.nl/,https://www.tandarts.nl/tandarts-nijmegen/tandheelkunde-en-implantologie-praktijk-st-jacobslaan,A,88,official_site_and_email_verified,brabant-dental-top-100.csv
66,adjacent_south,Utrecht,Tandgenoten Utrecht Leidsche Rijn,"Vaduzdijk 33, Utrecht",leidscherijn@tandgenoten.nl,030-2006716,https://tandgenoten.nl/leidscherijn/,https://www.tandarts.nl/tandarts-utrecht/tandgenoten-utrecht-leidsche-rijn,A,88,official_site_and_email_verified,brabant-dental-top-100.csv
67,adjacent_south,Utrecht,Proclin Utrecht,"Livingstonelaan 466, Utrecht",balie@paropraktijk.nl,030 287 05 60,https://www.parodontologie-utrecht.nl/,https://www.tandarts.nl/tandarts-utrecht/proclin-utrecht,A,87,official_site_and_email_verified,brabant-dental-top-100.csv
68,adjacent_south,Nijmegen,Tandartsenpraktijk Villa Westhof,"Berg en Dalseweg 172, Nijmegen",info@tandarts-villawesthof.nl,+31 (0)24 323 33 66,https://www.tandartsnijmegenoost.nl,https://www.tandarts.nl/tandarts-nijmegen/tandartsenpraktijk-villa-westhof,A,87,official_site_and_email_verified,brabant-dental-top-100.csv
69,adjacent_south,Nijmegen,Tandartspraktijk de Oversteek,"Wolfskuilseweg 269, Nijmegen",info@tpdo.nl,021-09-03-08-02-14-,https://tandartspraktijkdeoversteek.nl/,https://www.tandarts.nl/tandarts-nijmegen/tandartspraktijk-de-oversteek,A,87,official_site_and_email_verified,brabant-dental-top-100.csv
70,adjacent_south,Geleen,Vos & Nos Geleen,"Bloemenmarkt 11, Geleen",geleen@vosnos.nl,0850400800,https://vosnos.nl/,https://www.tandarts.nl/tandarts-geleen/vos-nos-geleen,A,87,official_site_and_email_verified,brabant-dental-top-100.csv
71,adjacent_south,Maastricht,Tandartsenpraktijk van Nouhuys,"Hertogsingel 89B, Maastricht",hertogsingeltandartsen@gmail.com,043 - 321 173 6,https://www.de-tandarts.net,https://www.tandarts.nl/tandarts-maastricht/tandartsenpraktijk-van-nouhuys,A,83,official_site_and_email_verified,brabant-dental-top-100.csv
72,national_backup,Rotterdam,Dental Clinics Rotterdam Zuiderterras,"Zuiderterras 6, Rotterdam",zuiderterras@dentalclinics.nl,+31104101470,https://www.dentalclinics.nl/tandarts/rotterdam-zuiderterras/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-zuiderterras,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
73,national_backup,Gouda,Dental Clinics Gouda Büchnerweg,"Buchnerweg 7, Gouda",buchnerweg@dentalclinics.nl,+31182510527,https://www.dentalclinics.nl/tandarts/gouda-buchnerweg/,https://www.tandarts.nl/tandarts-gouda/dental-clinics-gouda-buchnerweg,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
74,national_backup,Delft,Dental Clinics Delft,"Bagijnhof 80 , Delft",delft@dentalclinics.nl,+31152143352,https://www.dentalclinics.nl/tandarts/delft/,https://www.tandarts.nl/tandarts-delft/dental-clinics-delft,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
75,national_backup,Leiden,Van Leeuwen Tandartsen - centrum voor mondzorg en implantologie Leiden,"Lammermarkt 218, Leiden",info@vanleeuwen-tandartsen.nl,+31715898372,https://vanleeuwen-tandartsen.nl/behandelingen/implantaten/,https://www.tandarts.nl/tandarts-leiden/van-leeuwen-tandartsen-centrum-voor-mondzorg-en-implantologie-leiden,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
76,national_backup,Dordrecht,Dental Clinics Dordrecht Kuipershaven,"Schrijversstraat 2A, Dordrecht",kuipershaven@dentalclinics.nl,+31786135133,https://www.dentalclinics.nl/tandarts/dordrecht-kuipershaven/,https://www.tandarts.nl/tandarts-dordrecht/dental-clinics-dordrecht-kuipershaven,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
77,national_backup,Haarlem,Dental Clinics Haarlem Zijlweg,"Zijlweg 148 A1, Haarlem",haarlem@dentalclinics.nl,+31235531010,https://www.dentalclinics.nl/tandarts/haarlem-zijlweg/,https://www.tandarts.nl/tandarts-haarlem/dental-clinics-haarlem-zijlweg,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
78,national_backup,Gouda,Dental Clinics Gouda Burghvliet,"Noothoven van Goorstraat 60, Gouda",gouda@dentalclinics.nl,+31182550366,https://www.dentalclinics.nl/tandarts/gouda-burghvliet/,https://www.tandarts.nl/tandarts-gouda/dental-clinics-gouda-burghvliet,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
79,national_backup,Amersfoort,Kliniek voor tandheelkunde Dorrestein B.V.,"Dorresteinseweg 16-A, Amersfoort",info@tandartsdorrestein.nl,+310334612200,http://www.tandartsdorrestein.nl/,https://www.tandarts.nl/tandarts-amersfoort/kliniek-voor-tandheelkunde-dorrestein-bv,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
80,national_backup,Amersfoort,Dental Clinics Amersfoort Hogekwartier,"De Velduil 3A, Amersfoort",hogekwartier@dentalclinics.nl,+31334722990,https://www.dentalclinics.nl/tandarts/amersfoort-hogekwartier/,https://www.tandarts.nl/tandarts-amersfoort/dental-clinics-amersfoort-hogekwartier,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
81,national_backup,Rotterdam,Mondzorg Centrum Rotterdam,"Heer Bokelweg 216, Rotterdam",info@mondzorgcentrum-rotterdam.nl,//010-2827206,https://www.mondzorgcentrum-rotterdam.nl/de-praktijk/het-team/,https://www.tandarts.nl/tandarts-rotterdam/mondzorg-centrum-rotterdam,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
82,national_backup,Amersfoort,Kliniek Implantologie Amersfoort,"Dorresteinseweg 16B, Amersfoort",info@implantologie-amersfoort.nl,033 - 421 78 50,https://www.implantologie-amersfoort.nl/,https://www.tandarts.nl/tandarts-amersfoort/kliniek-implantologie-amersfoort,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
83,national_backup,Rotterdam,Dental Clinics Rotterdam Pleinweg,"Goereesestraat 2, Rotterdam",pleinweg@dentalclinics.nl,+31104100100,https://www.dentalclinics.nl/tandarts/rotterdam-pleinweg/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-pleinweg,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
84,national_backup,Delft,De Tandartsengroep Delft,"Adriaan Pauwstraat 86, Delft",receptie@detandartsengroepdelft.nl,0031152122268,https://www.detandartsengroepdelft.nl,https://www.tandarts.nl/tandarts-delft/de-tandartsengroep-delft,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
85,national_backup,Rotterdam,Loef Mondzorg,"Weena 91, Rotterdam",info@loef.nl,0102004815,https://loef.nl,https://www.tandarts.nl/tandarts-rotterdam/loef-mondzorg,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
86,national_backup,Leiden,Tandartsenpraktijk Unident,"Breestraat 61, Leiden",info@unident.nl,+31 (0)71-5146004,https://www.unident.nl/behandeling/tandartscontrole/,https://www.tandarts.nl/tandarts-leiden/tandartsenpraktijk-unident,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
