lead_rank,quality_tier,quality_score,region_bucket,city,clinic_name,address,contact_email,contact_phone,official_website,contact_url,listing_url,total_ratings,google_score,google_total,tandarts_score,tandarts_total,practice_type,popular,subscription,verification_status,quality_reasons,email_candidates,already_contacted
11,A,97,core_brainport,Eindhoven,Tandartsen Gestel,"Bennekelstraat 7, Eindhoven",info@tandartsengestel.nl,+310403030020,http://www.tandartsengestel.nl/,http://www.tandartsengestel.nl/contact,https://www.tandarts.nl/tandarts-eindhoven/tandartsen-gestel,3,,0,9.7,3,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,call,appointment_request,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartsengestel.nl; http://info@tandartsengestel.nl,no
12,A,97,core_brainport,Eindhoven,Praktijk voor parodontologie en implantologie Eindhoven,"Fransebaan 604, Eindhoven",info@paro-eindhoven.nl,0402230444,https://www.paro-eindhoven.nl,https://www.paro-eindhoven.nl/contact,https://www.tandarts.nl/tandarts-eindhoven/praktijk-voor-parodontologie-en-implantologie-eindhoven,0,,0,,0,tandarts,True,"start_tariff,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@paro-eindhoven.nl,no
13,A,97,core_brainport,Eindhoven,Tandprothetische praktijk de Polders Eindhoven,"Leenderweg 94, Eindhoven",info@depolders.nl,000402541639,https://depolders.nl/tandprothese/,https://depolders.nl/tandprothese/contact,https://www.tandarts.nl/tandarts-eindhoven/tandprothetische-praktijk-de-polders-eindhoven,0,,0,,0,tandarts,True,"start_tariff,call,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@depolders.nl,no
14,A,92,core_brainport,Eindhoven,MKA Kliniek Eindhoven,"Ten Hagestraat 10, Eindhoven",info@mkakliniekeindhoven.nl,0859022999,https://www.mkakliniekeindhoven.nl,https://www.mkakliniekeindhoven.nl/contact,https://www.tandarts.nl/tandarts-eindhoven/mka-kliniek-eindhoven,0,,0,,0,kaakchirurgie,True,"start_tariff,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, core_region, popular_listing, appointment_flow_signal, email_matches_practice_domain",info@mkakliniekeindhoven.nl,no
15,A,101,brabant_extended,Tilburg,Smile Mondzorg Tilburg,"Haendellaan 50, Tilburg",info@smilemondzorg.nl,013 455 1674,http://www.smilemondzorg.nl/,http://www.smilemondzorg.nl/contact,https://www.tandarts.nl/tandarts-tilburg/smile-mondzorg-tilburg,1781,3.1,28,9.0,42,tandarts_with_mond,True,"start_tariff,report_monitor,exquise_service,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@smilemondzorg.nl; smilemondzorg@zorgmail.nl,no
16,A,101,brabant_extended,Tilburg,Tandartsenpraktijk Steenbergen Tilburg B.V.,"Kruisvaardersstraat, Tilburg",tilburg@tandarts-steenbergen.nl,+31135352535,https://www.tandarts-steenbergen.nl,https://www.tandarts-steenbergen.nl/contact,https://www.tandarts.nl/tandarts-tilburg/tandartsenpraktijk-steenbergen-tilburg-bv,745,4.5,17,9.5,2,tandarts_with_mond,True,"start_tariff,report_monitor,call,appointment_request,appointment,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",tilburg@tandarts-steenbergen.nl,no
17,A,101,brabant_extended,Breda,Dental Clinics Breda Princenhage,"Pastoor van Spaandonkstraat 3, Breda",breda@dentalclinics.nl,+31765214214,https://www.dentalclinics.nl/tandarts/breda-princenhage/,https://www.dentalclinics.nl/tandarts/breda-princenhage/contact,https://www.tandarts.nl/tandarts-breda/dental-clinics-breda-princenhage,719,4.6,217,9.0,294,tandarts_with_mond,True,"start_tariff,report_monitor,appointment,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",breda@dentalclinics.nl,no
18,A,101,brabant_extended,Oss,Dental Clinics Oss,"Raadhuislaan 5b, Oss",oss@dentalclinics.nl,+31412646746,https://www.dentalclinics.nl/tandarts/oss/,https://www.dentalclinics.nl/tandarts/oss/contact,https://www.tandarts.nl/tandarts-oss/dental-clinics-oss,557,4.8,173,9.4,243,tandarts_with_mond,True,"start_tariff,report_monitor,appointment,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",oss@dentalclinics.nl,no
19,A,101,brabant_extended,Tilburg,Mondzorg Tilburg West,"Burgemeester van de Mortelplein, Tilburg",contact@mondzorgtilburgwest.nl,//013-5426219,https://mondzorgtilburgwest.nl,https://mondzorgtilburgwest.nl/contact,https://www.tandarts.nl/tandarts-tilburg/mondzorg-tilburg-west,540,4.7,199,9.3,198,tandarts_with_mond,True,"start_tariff,report_monitor,review_widget,call,appointment_request,appointment,click,blog_service_quantity_4,blog_service_zuid,seo_metadata",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",contact@mondzorgtilburgwest.nl,no
20,A,101,brabant_extended,Tilburg,Tandartspraktijk Laugeman,"Conservatoriumlaan 56, Tilburg",info@laugemantandartspraktijk.nl,0134676803,https://www.laugemantandartspraktijk.nl/,https://www.laugemantandartspraktijk.nl/contact,https://www.tandarts.nl/tandarts-tilburg/tandartspraktijk-laugeman,447,4.1,30,8.8,83,tandarts_with_mond,True,"start_tariff,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@laugemantandartspraktijk.nl,no
21,A,101,brabant_extended,Tilburg,Dental Clinics Tilburg Reeshof,"Drongelenhof 20, Tilburg",reeshof@dentalclinics.nl,+31135710606,https://www.dentalclinics.nl/tandarts/tilburg-reeshof/,https://www.dentalclinics.nl/tandarts/tilburg-reeshof/contact,https://www.tandarts.nl/tandarts-tilburg/dental-clinics-tilburg-reeshof,391,4.3,174,8.8,148,tandarts_with_mond,True,"start_tariff,report_monitor,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",reeshof@dentalclinics.nl,no
22,A,101,brabant_extended,Uden,Tandartspraktijk Uden-Zuid B.V.,"Verlengde Velmolen 21, Uden",info@tandartsudenzuid.nl,+31413258280,https://www.tandartsudenzuid.nl/wie-zijn-wij,https://www.tandartsudenzuid.nl/wie-zijn-wij/contact,https://www.tandarts.nl/tandarts-uden/tandartspraktijk-uden-zuid-bv,323,4.4,20,7.4,3,tandarts_with_mond,True,"start_tariff,report_monitor,call,appointment_request,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartsudenzuid.nl; rob@bbig-design.com; support@jouwweb.nl,no
23,A,98,brabant_extended,Den Bosch,Centrumtandzorg,"Eekbrouwersweg 4, Den Bosch",administratie@centrumtandzorg.nl,013 234 0880 --,https://centrumtandzorg.nl,https://centrumtandzorg.nl/contact,https://www.tandarts.nl/tandarts-den-bosch/centrumtandzorg,149,4.1,141,7.7,5,tandarts,True,"start_tariff,report_monitor,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, good_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",administratie@centrumtandzorg.nl; info@centrumtandzorg.nl,no
24,A,98,brabant_extended,Breda,Tandartspraktijk MC Dent,"Essendonk 7a, Breda",info@mcdent.nl,076 82 00 211,https://www.mcdent.nl/behandelingen/,https://www.mcdent.nl/behandelingen/contact,https://www.tandarts.nl/tandarts-breda/tandartspraktijk-mc-dent,135,4.2,37,8.1,20,tandarts_with_mond,True,"start_tariff,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, good_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@mcdent.nl,no
25,A,98,brabant_extended,Den Bosch,Tandartspraktijk Zuid-Willemsvaart,"Zuid-Willemsvaart 569, Den Bosch",info@tandartspraktijkzuidwillemsvaart.nl,073 6100062,https://tandartspraktijkzuidwillemsvaart.nl,https://tandartspraktijkzuidwillemsvaart.nl/contact,https://www.tandarts.nl/tandarts-den-bosch/tandartspraktijk-zuid-willemsvaart,124,,0,10.0,1,tandarts_with_mond,True,"start_tariff,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, good_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartspraktijkzuidwillemsvaart.nl,no
26,A,96,brabant_extended,Oss,Tandartsenpraktijk Steenbergen Oss B.V.,"Medicijnstraat 120, Oss",oss@tandarts-steenbergen.nl,0412 – 639 722,https://www.tandarts-steenbergen-oss.nl,https://www.tandarts-steenbergen-oss.nl/contact,https://www.tandarts.nl/tandarts-oss/tandartsenpraktijk-steenbergen-oss-bv,1720,4.1,36,9.6,9,tandarts_with_mond,True,"start_tariff,report_monitor,call,appointment_request,appointment,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal",oss@tandarts-steenbergen.nl,no
27,A,96,brabant_extended,Tilburg,Dental Clinics Tilburg Amazone,"Lage Witsiebaan 78, Tilburg",amazone@dentalclinics.nl,+31134670860,https://www.dentalclinics.nl/tandarts/tilburg-amazone/,https://www.dentalclinics.nl/tandarts/tilburg-amazone/contact,https://www.tandarts.nl/tandarts-tilburg/dental-clinics-tilburg-amazone,1034,4.6,244,9.2,530,tandarts_with_mond,True,"start_tariff,report_monitor,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, high_review_volume, popular_listing, general_practice_fit, email_matches_practice_domain",amazone@dentalclinics.nl,no
28,A,95,brabant_extended,Den Bosch,Dental Clinics Empel,"Burgemeesters Godschalxstraat 74, Den Bosch",denbosch-empel@dentalclinics.nl,+31736137742,https://www.dentalclinics.nl/tandarts/empel/,https://www.dentalclinics.nl/tandarts/empel/contact,https://www.tandarts.nl/tandarts-den-bosch/dental-clinics-empel,61,,0,8.7,33,tandarts_with_mond,True,"start_tariff,report_monitor,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, some_reviews, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",denbosch-empel@dentalclinics.nl,no
29,A,95,brabant_extended,Oss,Tandartsenpraktijk Leempoel-Groenewegen,"de Maasvallei 107, Oss",balie@leempoel-groenewegen.nl,+31412691419,https://leempoel-groenewegen.nl,https://leempoel-groenewegen.nl/contact,https://www.tandarts.nl/tandarts-oss/tandartsenpraktijk-leempoel-groenewegen,27,4.2,23,10.0,4,tandarts_with_mond,True,"start_tariff,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, some_reviews, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",balie@leempoel-groenewegen.nl; tpleempoelgroenewegen@zorgmail.nl,no
30,A,93,brabant_extended,Breda,Dental Clinics Breda Belcrum Linie,"Christiaan Huygensstraat 40, Breda",belcrum.linie@dentalclinics.nl,+31765214214,https://www.dentalclinics.nl/tandarts/breda-belcrum-linie/,https://www.dentalclinics.nl/tandarts/breda-belcrum-linie/contact,https://www.tandarts.nl/tandarts-breda/dental-clinics-breda-belcrum-linie,184,4.6,62,9.2,82,tandarts_with_mond,True,"start_tariff,report_monitor,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, good_review_volume, popular_listing, general_practice_fit, email_matches_practice_domain",belcrum.linie@dentalclinics.nl,no
31,A,91,brabant_extended,Roosendaal,Tandartspraktijk Kroeven,"Kroevenlaan 33, Roosendaal",info@tandartspraktijkkroeven.nl,0165-567969,https://www.tandartspraktijkkroeven.nl/,https://www.tandartspraktijkkroeven.nl/contact,https://www.tandarts.nl/tandarts-roosendaal/tandartspraktijk-kroeven,15,4.1,13,10.0,1,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,call,appointment_request,appointment,click,blog_service,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartspraktijkkroeven.nl,no
32,A,91,brabant_extended,Bergen op Zoom,Tandartspraktijk Novita,"Boerhaaveplein 9B    , Bergen Op Zoom",info@tpnovita.nl,+0164 30 40 99,https://tpnovita.nl,https://tpnovita.nl/contact,https://www.tandarts.nl/tandarts-bergen-op-zoom/tandartspraktijk-novita,3,,0,9.8,3,tandarts_with_mond,True,"none,start_tariff,youvia_olm,report_monitor,exquise_service,call,appointment_request,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tpnovita.nl; info@novita.com,no
33,A,91,brabant_extended,Breda,Tandartsenpraktijk Kieskeurig,"Haagweg 248, Breda",info@tandartsenpraktijk-kieskeurig.nl,+31768891910,https://www.tandartsenpraktijk-kieskeurig.nl/kinderen/,https://www.tandartsenpraktijk-kieskeurig.nl/kinderen/contact,https://www.tandarts.nl/tandarts-breda/tandartsenpraktijk-kieskeurig,3,,0,9.6,3,tandarts_with_mond,True,"start_tariff,youvia_olm,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartsenpraktijk-kieskeurig.nl,no
34,A,91,brabant_extended,Den Bosch,Tandartspraktijk de Kooiker,"Kooikersweg 203, Den Bosch",info@dekooiker.nl,+31736217016,https://www.dekooiker.nl,https://www.dekooiker.nl/contact,https://www.tandarts.nl/tandarts-den-bosch/tandartspraktijk-de-kooiker,1,,0,,0,tandarts_with_mond,True,"start_tariff,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@dekooiker.nl,no
35,A,91,brabant_extended,Breda,Praktijk voor Parodontologie en Implantologie Breda,"Brederostraat 2b, Breda",infobalie@parobreda.nl,0047864255,https://www.parobreda.nl,https://www.parobreda.nl/contact,https://www.tandarts.nl/tandarts-breda/praktijk-voor-parodontologie-en-implantologie-breda,0,,0,,0,tandarts_with_mond,True,"start_tariff,report_monitor,call,appointment_request,appointment,click,blog_service_quantity_4,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",infobalie@parobreda.nl; gebruiker@domein.com,no
36,A,90,brabant_extended,Den Bosch,Tandartspraktijk Zevenhont,"Zevenhontseweg 5, Den Bosch",info@zevenhont.com,+31736417722,https://www.tandartspraktijkzevenhont.nl/,https://www.tandartspraktijkzevenhont.nl/contact,https://www.tandarts.nl/tandarts-den-bosch/tandartspraktijk-zevenhont,27,,0,7.2,3,tandarts_with_mond,True,"start_tariff,email_service,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, some_reviews, popular_listing, general_practice_fit, appointment_flow_signal",info@zevenhont.com,no
37,A,90,brabant_extended,Uden,Tandartspraktijk Maashorst,"Breukrand 115, Uden",tandartspraktijkmaashorst@gmail.com,0413264490,https://tandartspraktijkmaashorst.nl,https://tandartspraktijkmaashorst.nl/contact,https://www.tandarts.nl/tandarts-uden/tandartspraktijk-maashorst,24,4.5,17,5.5,4,tandarts,True,"start_tariff,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, brabant_region, some_reviews, popular_listing, general_practice_fit, appointment_flow_signal",tandartspraktijkmaashorst@gmail.com,no
38,A,86,brabant_extended,Bergen op Zoom,Tandgaaf,"Dubbelstraat 90, Bergen Op Zoom",bureau@krt.nu,,https://tandartsregister.nl/,https://tandartsregister.nl/contact,https://www.tandarts.nl/tandarts-bergen-op-zoom/tandgaaf,255,4.3,131,8.5,50,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,review_widget,appointment_request,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, brabant_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal",bureau@krt.nu,no
39,A,98,adjacent_south,Utrecht,Dental Clinics Utrecht Maliebaan,"Maliebaan 44, Utrecht",maliebaan@dentalclinics.nl,+31302310003,https://www.dentalclinics.nl/tandarts/utrecht-maliebaan/,https://www.dentalclinics.nl/tandarts/utrecht-maliebaan/contact,https://www.tandarts.nl/tandarts-utrecht/dental-clinics-utrecht-maliebaan,1798,4.6,438,9.3,891,tandarts_with_mond,True,"start_tariff,report_monitor,appointment,click,blog_service_quantity_4,blog_service_midden",official_site_and_email_verified,"official_website, public_email, public_phone, adjacent_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",maliebaan@dentalclinics.nl,no
40,A,98,adjacent_south,Nijmegen,Tandartspraktijk Bochem Brakkenstein,"Kanunnik Faberstraat 2, Nijmegen",tandarts@bochem.nl,024 323 44 22,https://www.bochem.nl,https://www.bochem.nl/contact,https://www.tandarts.nl/tandarts-nijmegen/tandartspraktijk-bochem-brakkenstein,509,4.8,10,9.5,399,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,exquise_service,review_widget,call,appointment_request,appointment,click,blog_service_oost",official_site_and_email_verified,"official_website, public_email, public_phone, adjacent_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",tandarts@bochem.nl; tpbochembrakkenstein@zorgmail.nl,no
41,A,98,adjacent_south,Utrecht,Dental Clinics Utrecht Oudenoord,"Oudenoord 619-621, Utrecht",oudenoord@dentalclinics.nl,+31302315370,https://www.dentalclinics.nl/tandarts/utrecht-oudenoord/,https://www.dentalclinics.nl/tandarts/utrecht-oudenoord/contact,https://www.tandarts.nl/tandarts-utrecht/dental-clinics-utrecht-oudenoord,461,4.4,169,9.5,205,tandarts_with_mond,True,"start_tariff,report_monitor,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, adjacent_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",oudenoord@dentalclinics.nl,no
42,A,98,adjacent_south,Utrecht,Boelens Tandartsen,"Amsterdamsestraatweg 591, Utrecht",info@boelenstandartsen.nl,+31302442023,http://www.boelenstandartsen.nl/,http://www.boelenstandartsen.nl/contact,https://www.tandarts.nl/tandarts-utrecht/boelens-tandartsen,423,4.8,106,9.1,314,tandarts_with_mond,True,"start_tariff,youvia_olm,report_monitor,exquise_service,review_widget,call,appointment_request,appointment,click",official_site_and_email_verified,"official_website, public_email, public_phone, adjacent_region, high_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@boelenstandartsen.nl,no
43,A,95,adjacent_south,Weert,Tandzorg Oranjeplein,"Nassaulaan 3, Weert",info@tandzorgoranjeplein.nl,0495524261,https://www.tandzorgoranjeplein.nl/,https://www.tandzorgoranjeplein.nl/contact,https://www.tandarts.nl/tandarts-weert/tandzorg-oranjeplein,170,4.2,64,7.9,13,tandarts_with_mond,True,"start_tariff,call,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, adjacent_region, good_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandzorgoranjeplein.nl; info@tandzorgleuken.nl,no
44,A,95,adjacent_south,Venlo,Tandartspraktijk Wermenbol,"Kraanvogelstraat 2, Venlo",info@tandartswermenbol.nl,0031773526126,https://www.tandartswermenbol.nl,https://www.tandartswermenbol.nl/contact,https://www.tandarts.nl/tandarts-venlo/tandartspraktijk-wermenbol,152,4.4,15,,0,tandarts,True,"start_tariff,call,appointment_request,appointment,click,blog_service_zuid",official_site_and_email_verified,"official_website, public_email, public_phone, adjacent_region, good_review_volume, popular_listing, general_practice_fit, appointment_flow_signal, email_matches_practice_domain",info@tandartswermenbol.nl,no
