lead_rank,city,clinic_name,address,contact_email,contact_phone,official_website,listing_url,email_candidates
11,Den Haag,Dental Clinics Den Haag Thomsonlaan,"Thomsonlaan 20, Den Haag",denhaag@dentalclinics.nl,06-2022-3-300,https://www.dentalclinics.nl/tandarts/den-haag-thomsonlaan/,https://www.tandarts.nl/tandarts-den-haag/dental-clinics-den-haag-thomsonlaan,denhaag@dentalclinics.nl
12,Den Haag,Lassus Tandartsen Wassenaarseweg,"Wassenaarseweg 18, Den Haag",wassenaarseweg@lassus.nl,(070) 406 1832,https://www.residentaal.nl/,https://www.tandarts.nl/tandarts-den-haag/lassus-tandartsen-wassenaarseweg,wassenaarseweg@lassus.nl
13,Den Haag,Dental Clinics Den Haag Wateringseveld,"Laan van Wateringse Veld 120, Den Haag",wateringseveld@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/den-haag-wateringseveld/,https://www.tandarts.nl/tandarts-den-haag/dental-clinics-den-haag-wateringseveld,wateringseveld@dentalclinics.nl
14,Den Haag,Mondzorg Centrum den Haag,"Ammunitiehaven 19, Den Haag",info@tandartscentrumdenhaag.nl,070 326 0891,https://tandartscentrumdenhaag.nl,https://www.tandarts.nl/tandarts-den-haag/mondzorg-centrum-den-haag,info@tandartscentrumdenhaag.nl
15,Haarlem,Dental Clinics Haarlem Zijlweg,"Zijlweg 148 A1, Haarlem",haarlem@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/haarlem-zijlweg/,https://www.tandarts.nl/tandarts-haarlem/dental-clinics-haarlem-zijlweg,haarlem@dentalclinics.nl
16,Haarlem,Dental Clinics Haarlem Rijksstraatweg,"Rijksstraatweg 126, Haarlem",rijksstraatweg@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/haarlem-rijksstraatweg/,https://www.tandarts.nl/tandarts-haarlem/dental-clinics-haarlem-rijksstraatweg,rijksstraatweg@dentalclinics.nl
17,Amersfoort,Dental Clinics Amersfoort Hogekwartier,"De Velduil 3A, Amersfoort",hogekwartier@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/amersfoort-hogekwartier/,https://www.tandarts.nl/tandarts-amersfoort/dental-clinics-amersfoort-hogekwartier,hogekwartier@dentalclinics.nl
18,Delft,Dental Clinics Delft,"Bagijnhof 80 , Delft",delft@dentalclinics.nl,01-07-2025-08-568,https://www.dentalclinics.nl/tandarts/delft/,https://www.tandarts.nl/tandarts-delft/dental-clinics-delft,delft@dentalclinics.nl
19,Dordrecht,Dental Clinics Dordrecht Singel,"Singel 333, Dordrecht",dordrecht@dentalclinics.nl,06-2025-04-568,https://www.dentalclinics.nl/tandarts/dordrecht-singel/,https://www.tandarts.nl/tandarts-dordrecht/dental-clinics-dordrecht-singel,dordrecht@dentalclinics.nl
20,Dordrecht,Dental Clinics Dordrecht Kuipershaven,"Schrijversstraat 2A, Dordrecht",kuipershaven@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/dordrecht-kuipershaven/,https://www.tandarts.nl/tandarts-dordrecht/dental-clinics-dordrecht-kuipershaven,kuipershaven@dentalclinics.nl
21,Gouda,Dental Clinics Gouda Greenline,"Ronsseweg 551, Gouda",greenline@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/gouda-greenline/,https://www.tandarts.nl/tandarts-gouda/dental-clinics-gouda-greenline,greenline@dentalclinics.nl
22,Gouda,Dental Clinics Gouda Büchnerweg,"Buchnerweg 7, Gouda",buchnerweg@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/gouda-buchnerweg/,https://www.tandarts.nl/tandarts-gouda/dental-clinics-gouda-buchnerweg,buchnerweg@dentalclinics.nl
23,Gouda,Dental Clinics Gouda Burghvliet,"Noothoven van Goorstraat 60, Gouda",gouda@dentalclinics.nl,08 128 128 128 128-57,https://www.dentalclinics.nl/tandarts/gouda-burghvliet/,https://www.tandarts.nl/tandarts-gouda/dental-clinics-gouda-burghvliet,gouda@dentalclinics.nl
